Pokémon - I Choose You! | FULL EPISODE 1 | Season 1 | https://www.youtube.com/watch?v=z3hMX65Khtg
Pokémon Emergency | FULL EPISODE 2 | Season 1 | https://www.youtube.com/watch?v=h6LFdBPjbf4
Ash Catches a Pokémon | FULL EPISODE 3 | Season 1 | https://www.youtube.com/watch?v=ObtS79k2NM4
Challenge of the Samurai | POKÉMON FULL EPISODE 4 | Season 1 | https://www.youtube.com/watch?v=PEUL-1_zGWI
Showdown in Pewter City | POKÉMON FULL EPISODE 5 | Season 1 | https://www.youtube.com/watch?v=COr4zRFX0Gw
Clefairy and the Moon Stone | POKÉMON FULL EPISODE 6 | Season 1 | https://www.youtube.com/watch?v=iaxkOJZxzQM
The Water Flowers of Cerulean City | POKÉMON FULL EPISODE 7 | Season 1 | https://www.youtube.com/watch?v=RcBw50wD9_o
The Path to the Pokémon League | FULL EPISODE 8 | Season 1 | https://www.youtube.com/watch?v=rcA8dMGOMCw
The School of Hard Knocks | POKÉMON FULL EPISODE 9 | Season 1 | https://www.youtube.com/watch?v=dJgDmrra3kM
Bulbasaur and the Hidden Village | POKÉMON FULL EPISODE 10 | Season 1 | https://www.youtube.com/watch?v=nfpsYGAGzF0
Charmander—the Stray Pokémon | FULL EPISODE 11 | Season 1 | https://www.youtube.com/watch?v=JhhupHQlal8
Here Comes the Squirtle Squad | POKÉMON FULL EPISODE 12 | Season 1 | https://www.youtube.com/watch?v=1TlOcjJodHw
Mystery at the Lighthouse | POKÉMON FULL EPISODE 13 | Season 1 | https://www.youtube.com/watch?v=3l1lSNQxJA0
Electric Shock Showdown | POKÉMON FULL EPISODE 14 | Season 1 | https://www.youtube.com/watch?v=Cd-3_QOIjgU
Battle aboard the St. Anne | POKÉMON FULL EPISODE 15 | Season 1 | https://www.youtube.com/watch?v=9wAKxOavTnw
Pokémon Shipwreck | POKÉMON FULL EPISODE 16 | Season 1 | https://www.youtube.com/watch?v=326R_Lhua5w
Island of the Giant Pokémon | FULL EPISODE 17 | Season 1 | https://www.youtube.com/watch?v=R-GNznqs7cI
Tentacool & Tentacruel l POKÉMON FULL EPISODE 18 | Season 1 | https://www.youtube.com/watch?v=6uNYmqvF24k
The Ghost of Maiden’s Peak | POKÉMON FULL EPISODE 19 | Season 1 | https://www.youtube.com/watch?v=boY4QaYhBeM
Bye-Bye Butterfree | POKÉMON FULL EPISODE 20 | Season 1 | https://www.youtube.com/watch?v=T23nJU-KwZo
Abra and the Psychic Showdown | POKÉMON FULL EPISODE 21 | Season 1 | https://www.youtube.com/watch?v=TYhdezzyqPo
The Tower of Terror | POKÉMON FULL EPISODE 22 | Season 1 | https://www.youtube.com/watch?v=hrANeOomxRw
Haunter vs. Kadabra | POKÉMON FULL EPISODE 23 | Season 1 | https://www.youtube.com/watch?v=9IymXcXl4fk
Primeape Goes Bananas | POKÉMON FULL EPISODE 24 | Season 1 | https://www.youtube.com/watch?v=9aLD8SGoPIc
Pokémon Scent-sation! | FULL EPISODE 25 | Season 1 | https://www.youtube.com/watch?v=rrQmjrZedac
Hypno’s Naptime | POKÉMON FULL EPISODE 26 | Season 1 | https://www.youtube.com/watch?v=XwpbJK-WE8Q
Pokémon Fashion Flash | FULL EPISODE 27 | Season 1 | https://www.youtube.com/watch?v=lKggkmrv7q4
The Punchy Pokémon | FULL EPISODE 28 | Season 1 | https://www.youtube.com/watch?v=_LhB0LIQlQ0
Sparks Fly for Magnemite | POKÉMON FULL EPISODE 29 | Season 1 | https://www.youtube.com/watch?v=f8mWMqLO88A
Dig Those Diglett! | POKÉMON FULL EPISODE 30 | Season 1 | https://www.youtube.com/watch?v=mRR7mbV0u4U
The Ninja Poké-Showdown | POKÉMON FULL EPISODE 31 | Season 1 | https://www.youtube.com/watch?v=XpwNBGB6Fuo
The Flame Pokémon-athon! | FULL EPISODE 32 | Season 1 | https://www.youtube.com/watch?v=RYdXQlBjjPI
The Kangaskhan Kid | POKÉMON FULL EPISODE 33 | Season 1 | https://www.youtube.com/watch?v=1PfJMmwI6b4
The Bridge Bike Gang | POKÉMON FULL EPISODE 34 | Season 1 | https://www.youtube.com/watch?v=DhRYzCfjysY
Ditto’s Mysterious Mansion | POKÉMON FULL EPISODE 35 | Season 1 | https://www.youtube.com/watch?v=dHuwaW3Vlh4
Pikachu’s Goodbye | POKÉMON FULL EPISODE 36 | Season 1 | https://www.youtube.com/watch?v=lSZ172BJoaE
The Battling Eevee Brothers | POKÉMON FULL EPISODE 37 | Season 1 | https://www.youtube.com/watch?v=xTmgJ8-HCtI
Wake Up Snorlax! | POKÉMON FULL EPISODE 38 | Season 1 | https://www.youtube.com/watch?v=tuTr_cRGKds
Showdown at Dark City |  POKÉMON FULL EPISODE 39 | Season 1 | https://www.youtube.com/watch?v=XXuhIoEBB_M
The March of the Exeggutor Squad | POKÉMON FULL EPISODE 40 | Season 1 | https://www.youtube.com/watch?v=pBXQbh0mtCE
The Problem with Paras | POKÉMON FULL EPISODE 41 | Season 1 | https://www.youtube.com/watch?v=J2MF6t_N8vo
The Song of Jigglypuff | POKÉMON FULL EPISODE 42 | Season 1 | https://www.youtube.com/watch?v=Ss13Pnq6XII
Attack of the Prehistoric Pokémon | FULL EPISODE 43 | Season 1 | https://www.youtube.com/watch?v=pCCsYuiAIQ8
A Chansey Operation | POKÉMON FULL EPISODE 44 | Season 1 | https://www.youtube.com/watch?v=XTaSlC_OmV4
Holy Matrimony! | POKÉMON FULL EPISODE 45 | Season 1 | https://www.youtube.com/watch?v=LzSRkzuKJM8
So Near Yet So Farfetch’d | POKÉMON FULL EPISODE 46 | Season 1 | https://www.youtube.com/watch?v=wKU_vLdoSwQ
Who Gets to Keep Togepi? | POKÉMON FULL EPISODE 47 | Season 1 | https://www.youtube.com/watch?v=okJhrQSg7uU
Bulbasaur’s Mysterious Garden | POKÉMON FULL EPISODE 48 | Season 1 | https://www.youtube.com/watch?v=SpYyPHhvCFQ
The Case of the K-9 Caper | POKÉMON FULL EPISODE 49 | Season 1 | https://www.youtube.com/watch?v=Fv3cmSw9-L4
Pokémon Paparazzi | FULL EPISODE 50 | Season 1 | https://www.youtube.com/watch?v=6ipxURw5U9w
The Ultimate Test | POKÉMON FULL EPISODE 51 | Season 1 | https://www.youtube.com/watch?v=00oVhyityGY
The Breeding Center Secret | POKÉMON FULL EPISODE 52 | Season 1 | https://www.youtube.com/watch?v=uLJCo0ly_Rc
Princess vs. Princess | POKÉMON FULL EPISODE 1 | Season 2 | https://www.youtube.com/watch?v=yGvr0TXXPVU
The Purr-fect Hero | POKÉMON FULL EPISODE 2 | Season 2 | https://www.youtube.com/watch?v=WmhHwNb2wio
Riddle Me This | POKÉMON FULL EPISODE 3 | Season 2 | https://www.youtube.com/watch?v=p2sUUsylt3M
Volcanic Panic  | POKÉMON FULL EPISODE 4 | Season 2 | https://www.youtube.com/watch?v=fokk0u5Yr5Y
Beach Blank-out Blastoise | POKÉMON FULL EPISODE 5 | Season 2 | https://www.youtube.com/watch?v=mDGVc3Sc_H4
The Misty Mermaid | POKÉMON FULL EPISODE 6 | Season 2 | https://www.youtube.com/watch?v=G7EBiaDe_K0
