BEYBLADE X | NOVO EPISÓDIO! | Ep.1 X | https://www.youtube.com/watch?v=HntI77JSiwQ
BEYBLADE X | NOVO EPISÓDIO! | Ep.2 Armadilha Multi-Colorida! | https://www.youtube.com/watch?v=CJbPLE9TaWA
BEYBLADE X | NOVO EPISÓDIO! | Ep.3 Time Persona | https://www.youtube.com/watch?v=ta_uTD1r4Xo
BEYBLADE X | NOVO EPISÓDIO! | Ep.4 Patrocínio Bey | https://www.youtube.com/watch?v=_Zeu92VbZq8
BEYBLADE X | NOVO EPISÓDIO! | Ep.5 PARA A TORRE | https://www.youtube.com/watch?v=l74q-bEpUYs
BEYBLADE X | NOVO EPISÓDIO! | Ep.6 A SELVA DO LEÃO | https://www.youtube.com/watch?v=eTUd3Hi4KA4
BEYBLADE X | NOVO EPISÓDIO! | Ep.7 TIME ZOOGANIC | https://www.youtube.com/watch?v=0-kxPGn2jdU
BEYBLADE X | NOVO EPISÓDIO! | Ep.8 A MÁSCARA E A COROA | https://www.youtube.com/watch?v=12oWMZMHHOQ
BEYBLADE X | NOVO EPISÓDIO! | Ep.9 ForjaBeys | https://www.youtube.com/watch?v=LpA-aOpElXM
BEYBLADE X | NOVO EPISÓDIO! | Ep.10 O MUNDO PROFISSIONAL | https://www.youtube.com/watch?v=_R6Y9w39rGw
BEYBLADE X | NOVO EPISÓDIO! | Ep.11 TESTE DO WARDEN | https://www.youtube.com/watch?v=XiU_Db8XSiM
BEYBLADE X | NOVO EPISÓDIO! | Ep.12 A BATALHA FINAL | https://www.youtube.com/watch?v=j6CLnWPfHhE
BEYBLADE X | NOVO EPISÓDIO! | Ep.13 O PRIMEIRO FÃ | https://www.youtube.com/watch?v=OX2jBUyDv5Q
BEYBLADE X | NOVO EPISÓDIO! | Ep.14 JAX-XERCICIO | https://www.youtube.com/watch?v=tY7lIMHMBEU
BEYBLADE X | NOVO EPISÓDIO! | Ep.15 BEYNIGMAS | https://www.youtube.com/watch?v=eEWpVcgAt8Y
